ID,Project_Code,PQ,PO/SO,ASN/DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule/Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD)
84617,104-CI-T30,FPQ-6495,SO-37710,DN-2098,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,10/4/10,N/A - From RDC,31-Jan-11,22-Feb-11,22-Feb-11,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,9920,108326.4,10.92,0.36,Mylan (formerly Matrix) Nashik,No,See DN-2098 (ID#:83482),See DN-2098 (ID#:83482),233.55
82799,110-ZM-T30,FPQ-14784,SO-49601,DN-4250,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,8/12/14,N/A - From RDC,29-May-15,15-May-15,15-May-15,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,33308,131566.6,3.95,0.07,Mylan (formerly Matrix) Nashik,Yes,2803,4040.64,135.25
12067,112-NG-T01,Pre-PQ Process,SO-636,DN-191,Nigeria,PMO - US,From RDC,N/A - From RDC,,Pre-PQ Process,N/A - From RDC,26-Jun-07,26-Jun-07,26-Jun-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/40mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,Tablet - FDC,60,903,6953.1,7.7,0.13,"Cipla, Goa, India",Yes,57,1339.8,11.12
86720,109-TZ-T30,FPQ-13042,SO-46674,DN-3867,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,10/1/13,N/A - From RDC,29-Aug-14,29-Sep-14,6-Oct-14,ARV,Pediatric,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,42141,157185.93,3.73,0.06,Mylan (formerly Matrix) Nashik,No,See DN-3867 (ID#:84968),See DN-3867 (ID#:84968),194.44
9918,108-VN-T01,Pre-PQ Process,SCMS-26171,ASN-2515,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/1/08,25-Sep-08,25-Sep-08,25-Sep-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,1800,15498.0,8.61,0.14,"Aurobindo Unit III, India",No,See ASN-2515 (ID#:4635),See ASN-2515 (ID#:4635),24.8
82392,114-UG-T30,FPQ-7162,SO-38801,DN-2297,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2/14/11,N/A - From RDC,5-Aug-11,5-Aug-11,5-Aug-11,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,451,1132.01,2.51,0.04,"Strides, Bangalore, India.",Yes,698,3865.63,1.87
21033,110-ZM-T30,FPQ-13224,SCMS-215200,ASN-23390,Zambia,PMO - US,Direct Drop,FCA,Air,10/31/13,11/19/13,7-Feb-14,7-Feb-14,13-Feb-14,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,2569,79176.58,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,2410,14384.91,81.39
83428,109-TZ-T30,FPQ-5237,SO-36042,DN-1835,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,3/1/10,N/A - From RDC,21-Jul-10,21-May-10,21-May-10,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,40000,109200.0,2.73,0.05,"Strides, Bangalore, India.",Yes,6240,27922.62,235.44
83886,151-NG-T30,FPQ-14766,SO-49683,DN-4128,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,8/13/14,N/A - From RDC,28-Feb-15,5-Feb-15,16-Feb-15,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,42500,328100.0,7.72,0.13,Hetero Unit III Hyderabad IN,Yes,6229,12045.84,337.29
84432,107-RW-T30,FPQ-14811,SO-49951,DN-4040,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,10/15/14,N/A - From RDC,14-Jan-15,24-Dec-14,5-Jan-15,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, dispersible tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Chewable/dispersible tablet - FDC,60,3238,16481.42,5.09,0.08,"Cipla, Patalganga, India",No,See DN-4040 (ID#:82758),See DN-4040 (ID#:82758),16.94
